year,scenario,gas,value
1850,Historical,co2_ppm,284.15007736127274
1851,Historical,co2_ppm,283.6685386217343
1852,Historical,co2_ppm,283.31900181678265
1853,Historical,co2_ppm,284.6363181348746
1854,Historical,co2_ppm,284.48955009504203
1855,Historical,co2_ppm,283.81654207635
1856,Historical,co2_ppm,283.56053096923205
1857,Historical,co2_ppm,284.79840642744904
1858,Historical,co2_ppm,284.7998110907808
1859,Historical,co2_ppm,284.68415751649604
1860,Historical,co2_ppm,284.9212460562779
1861,Historical,co2_ppm,284.5041588749961
1862,Historical,co2_ppm,284.8972991863331
1863,Historical,co2_ppm,284.9859744223614
1864,Historical,co2_ppm,285.317879921249
1865,Historical,co2_ppm,286.2289474771996
1866,Historical,co2_ppm,286.35738321056334
1867,Historical,co2_ppm,286.39060963119704
1868,Historical,co2_ppm,286.3823341612013
1869,Historical,co2_ppm,286.24897562371007
1870,Historical,co2_ppm,286.05019043283295
1871,Historical,co2_ppm,286.4255066598021
1872,Historical,co2_ppm,287.00721135951505
1873,Historical,co2_ppm,287.4091754468399
1874,Historical,co2_ppm,287.21823554078264
1875,Historical,co2_ppm,287.50726777432357
1876,Historical,co2_ppm,287.2779637833159
1877,Historical,co2_ppm,287.43858172474853
1878,Historical,co2_ppm,287.54593526754235
1879,Historical,co2_ppm,287.84949921324636
1880,Historical,co2_ppm,288.46683580140717
1881,Historical,co2_ppm,288.56770813878785
1882,Historical,co2_ppm,288.2452469128496
1883,Historical,co2_ppm,288.76957158415985
1884,Historical,co2_ppm,289.48017156044494
1885,Historical,co2_ppm,289.37306051523325
1886,Historical,co2_ppm,289.3193001418929
1887,Historical,co2_ppm,289.31213870412745
1888,Historical,co2_ppm,290.06504574890073
1889,Historical,co2_ppm,290.86850750075723
1890,Historical,co2_ppm,291.0195992325636
1891,Historical,co2_ppm,291.1761507273265
1892,Historical,co2_ppm,291.5973589938678
1893,Historical,co2_ppm,292.2887839821854
1894,Historical,co2_ppm,292.58901402045825
1895,Historical,co2_ppm,292.7626202347494
1896,Historical,co2_ppm,293.22964312079745
1897,Historical,co2_ppm,293.3148806120966
1898,Historical,co2_ppm,293.28594361860456
1899,Historical,co2_ppm,293.9143278527249
1900,Historical,co2_ppm,295.06839497590954
1901,Historical,co2_ppm,295.3677760200462
1902,Historical,co2_ppm,294.6037513245706
1903,Historical,co2_ppm,294.5993414712672
1904,Historical,co2_ppm,295.5520200673712
1905,Historical,co2_ppm,296.3096030200973
1906,Historical,co2_ppm,296.1999921655891
1907,Historical,co2_ppm,296.1741546382351
1908,Historical,co2_ppm,296.58562909757
1909,Historical,co2_ppm,297.5223355499542
1910,Historical,co2_ppm,297.7983462599611
1911,Historical,co2_ppm,298.4329409235199
1912,Historical,co2_ppm,298.3342300597745
1913,Historical,co2_ppm,298.51027743976096
1914,Historical,co2_ppm,298.8350947155039
1915,Historical,co2_ppm,299.9293787445634
1916,Historical,co2_ppm,300.39388306888577
1917,Historical,co2_ppm,301.19073442848105
1918,Historical,co2_ppm,301.5244691221712
1919,Historical,co2_ppm,302.5744480763172
1920,Historical,co2_ppm,302.7559768705237
1921,Historical,co2_ppm,302.2043091798013
1922,Historical,co2_ppm,302.8555178060865
1923,Historical,co2_ppm,304.0931167725243
1924,Historical,co2_ppm,303.81037606377686
1925,Historical,co2_ppm,303.43281759800726
1926,Historical,co2_ppm,303.95944343932905
1927,Historical,co2_ppm,304.38820029861307
1928,Historical,co2_ppm,305.60151374232424
1929,Historical,co2_ppm,305.6390815355121
1930,Historical,co2_ppm,305.6482113396223
1931,Historical,co2_ppm,305.7368537019931
1932,Historical,co2_ppm,306.58337083207306
1933,Historical,co2_ppm,306.77526294090677
1934,Historical,co2_ppm,306.1906363084312
1935,Historical,co2_ppm,306.19105740577004
1936,Historical,co2_ppm,306.5152666837704
1937,Historical,co2_ppm,307.31870329525515
1938,Historical,co2_ppm,307.96003360391205
1939,Historical,co2_ppm,308.6748682801978
1940,Historical,co2_ppm,309.6507307403487
1941,Historical,co2_ppm,309.8023240164809
1942,Historical,co2_ppm,309.63669141784374
1943,Historical,co2_ppm,310.6975012624394
1944,Historical,co2_ppm,311.39417554509834
1945,Historical,co2_ppm,310.9706830215726
1946,Historical,co2_ppm,310.62098148655946
1947,Historical,co2_ppm,311.4005717316401
1948,Historical,co2_ppm,311.6880212744568
1949,Historical,co2_ppm,311.1395902133493
1950,Historical,co2_ppm,311.7894682396529
1951,Historical,co2_ppm,311.7625856276404
1952,Historical,co2_ppm,311.499198979812
1953,Historical,co2_ppm,312.3860170035358
1954,Historical,co2_ppm,312.5796558839031
1955,Historical,co2_ppm,312.8882883976649
1956,Historical,co2_ppm,312.75332554918697
1957,Historical,co2_ppm,313.14384733158084
1958,Historical,co2_ppm,314.05018572871205
1959,Historical,co2_ppm,314.2543331100773
1960,Historical,co2_ppm,314.3492449243625
1961,Historical,co2_ppm,314.67651900376785
1962,Historical,co2_ppm,315.3515166872662
1963,Historical,co2_ppm,316.37354805791887
1964,Historical,co2_ppm,316.36840182930194
1965,Historical,co2_ppm,316.777585575301
1966,Historical,co2_ppm,317.5133840014469
1967,Historical,co2_ppm,319.3903125190748
1968,Historical,co2_ppm,319.64143169515256
1969,Historical,co2_ppm,319.7960686327969
1970,Historical,co2_ppm,321.026090389011
1971,Historical,co2_ppm,321.82316810384856
1972,Historical,co2_ppm,323.4236735438048
1973,Historical,co2_ppm,324.7656640854437
1974,Historical,co2_ppm,326.14830483274386
1975,Historical,co2_ppm,327.1946969732821
1976,Historical,co2_ppm,328.25550943664126
1977,Historical,co2_ppm,329.3660624866724
1978,Historical,co2_ppm,330.35065515719907
1979,Historical,co2_ppm,331.5104961915032
1980,Historical,co2_ppm,332.8743439147263
1981,Historical,co2_ppm,334.91290566391825
1982,Historical,co2_ppm,337.34017897958614
1983,Historical,co2_ppm,337.8185631849664
1984,Historical,co2_ppm,338.5139429973972
1985,Historical,co2_ppm,340.01970153335424
1986,Historical,co2_ppm,341.62972780978436
1987,Historical,co2_ppm,343.40714908897434
1988,Historical,co2_ppm,344.8662814077308
1989,Historical,co2_ppm,346.52247883811305
1990,Historical,co2_ppm,348.8153743288877
1991,Historical,co2_ppm,350.4527471657138
1992,Historical,co2_ppm,351.157927258138
1993,Historical,co2_ppm,351.6561750842745
1994,Historical,co2_ppm,353.707337357629
1995,Historical,co2_ppm,354.876225881889
1996,Historical,co2_ppm,355.82214850708937
1997,Historical,co2_ppm,356.9065132052053
1998,Historical,co2_ppm,358.79038090375593
1999,Historical,co2_ppm,360.95179039954587
2000,Historical,co2_ppm,363.3116684673111
2001,Historical,co2_ppm,365.20340873215827
2002,Historical,co2_ppm,366.66620365663744
2003,Historical,co2_ppm,367.64605656805816
2004,Historical,co2_ppm,370.5732267325746
2005,Historical,co2_ppm,372.52647778907385
2006,Historical,co2_ppm,373.6964521023742
2007,Historical,co2_ppm,375.33911496598733
2008,Historical,co2_ppm,377.5533861673511
2009,Historical,co2_ppm,379.9137788037787
2010,Historical,co2_ppm,381.910375949818
2011,Historical,co2_ppm,383.07887356221494
2012,Historical,co2_ppm,385.6140081554784
2013,Historical,co2_ppm,388.55811042601414
2014,Historical,co2_ppm,389.82296660256674
2015,SSP1-1.9,co2_ppm,391.70398927965056
2016,SSP1-1.9,co2_ppm,393.86375831080403
2017,SSP1-1.9,co2_ppm,396.9337980598115
2018,SSP1-1.9,co2_ppm,400.01648469972525
2019,SSP1-1.9,co2_ppm,401.41711215058257
2020,SSP1-1.9,co2_ppm,403.7066917561208
2021,SSP1-1.9,co2_ppm,406.9674866670207
2022,SSP1-1.9,co2_ppm,410.19151252474757
2023,SSP1-1.9,co2_ppm,412.80969017054696
2024,SSP1-1.9,co2_ppm,415.03701835504245
2025,SSP1-1.9,co2_ppm,417.0403656028565
2026,SSP1-1.9,co2_ppm,419.83205896480143
2027,SSP1-1.9,co2_ppm,421.6299218122817
2028,SSP1-1.9,co2_ppm,423.70244807288645
2029,SSP1-1.9,co2_ppm,425.4660855389862
2030,SSP1-1.9,co2_ppm,426.8702002561026
2031,SSP1-1.9,co2_ppm,428.9681903896878
2032,SSP1-1.9,co2_ppm,430.2341182211512
2033,SSP1-1.9,co2_ppm,430.98238713395625
2034,SSP1-1.9,co2_ppm,431.7506593741232
2035,SSP1-1.9,co2_ppm,432.667793049699
2036,SSP1-1.9,co2_ppm,434.0510754955567
2037,SSP1-1.9,co2_ppm,433.68103859936156
2038,SSP1-1.9,co2_ppm,433.9933904349455
2039,SSP1-1.9,co2_ppm,434.90619801564475
2040,SSP1-1.9,co2_ppm,435.71519377369486
2041,SSP1-1.9,co2_ppm,435.7443532332016
2042,SSP1-1.9,co2_ppm,435.83368157880795
2043,SSP1-1.9,co2_ppm,435.8999612558857
2044,SSP1-1.9,co2_ppm,435.9515988548172
2045,SSP1-1.9,co2_ppm,436.01029080693223
2046,SSP1-1.9,co2_ppm,435.6015933152439
2047,SSP1-1.9,co2_ppm,435.5666292053216
2048,SSP1-1.9,co2_ppm,434.9524502524244
2049,SSP1-1.9,co2_ppm,433.8839129716533
2050,SSP1-1.9,co2_ppm,434.51489153427366
2051,SSP1-1.9,co2_ppm,434.3462647387873
2052,SSP1-1.9,co2_ppm,434.088401868391
2053,SSP1-1.9,co2_ppm,432.83426955749434
2054,SSP1-1.9,co2_ppm,432.6718339612496
2055,SSP1-1.9,co2_ppm,432.47266368825694
2056,SSP1-1.9,co2_ppm,431.29095866033526
2057,SSP1-1.9,co2_ppm,431.03050334031906
2058,SSP1-1.9,co2_ppm,430.6039947428492
2059,SSP1-1.9,co2_ppm,430.2101000909751
2060,SSP1-1.9,co2_ppm,429.34030621360284
2061,SSP1-1.9,co2_ppm,428.78119364489817
2062,SSP1-1.9,co2_ppm,428.5451474098006
2063,SSP1-1.9,co2_ppm,427.991149478333
2064,SSP1-1.9,co2_ppm,426.7204358109025
2065,SSP1-1.9,co2_ppm,426.0631554206164
2066,SSP1-1.9,co2_ppm,425.16587659260625
2067,SSP1-1.9,co2_ppm,424.09796099753953
2068,SSP1-1.9,co2_ppm,424.2602790873157
2069,SSP1-1.9,co2_ppm,423.65394369712834
2070,SSP1-1.9,co2_ppm,422.3559823934574
2071,SSP1-1.9,co2_ppm,422.125558748023
2072,SSP1-1.9,co2_ppm,420.583981539495
2073,SSP1-1.9,co2_ppm,419.5359454866089
2074,SSP1-1.9,co2_ppm,419.47911544244744
2075,SSP1-1.9,co2_ppm,418.40924205694233
2076,SSP1-1.9,co2_ppm,417.2009956847815
2077,SSP1-1.9,co2_ppm,417.2514919978044
2078,SSP1-1.9,co2_ppm,416.0728802274894
2079,SSP1-1.9,co2_ppm,415.1686079207559
2080,SSP1-1.9,co2_ppm,414.95429187716513
2081,SSP1-1.9,co2_ppm,413.4860510313851
2082,SSP1-1.9,co2_ppm,412.8750546441663
2083,SSP1-1.9,co2_ppm,412.1099049493769
2084,SSP1-1.9,co2_ppm,410.9239058150001
2085,SSP1-1.9,co2_ppm,409.7185235470966
2086,SSP1-1.9,co2_ppm,409.5065511299127
2087,SSP1-1.9,co2_ppm,408.3345252763185
2088,SSP1-1.9,co2_ppm,406.90787645282484
2089,SSP1-1.9,co2_ppm,406.38210267682535
2090,SSP1-1.9,co2_ppm,404.94067985720886
2091,SSP1-1.9,co2_ppm,403.69778182147655
2092,SSP1-1.9,co2_ppm,403.4417275261588
2093,SSP1-1.9,co2_ppm,401.85884010899616
2094,SSP1-1.9,co2_ppm,400.3840921140666
2095,SSP1-1.9,co2_ppm,400.0433572206162
2096,SSP1-1.9,co2_ppm,398.4186370485156
2097,SSP1-1.9,co2_ppm,397.2109719952848
2098,SSP1-1.9,co2_ppm,396.4766698869169
2099,SSP1-1.9,co2_ppm,395.42889001791065
2100,SSP1-1.9,co2_ppm,394.30977045323743
2015,SSP1-2.6,co2_ppm,391.8557754126837
2016,SSP1-2.6,co2_ppm,393.77986735332735
2017,SSP1-2.6,co2_ppm,396.98786989646766
2018,SSP1-2.6,co2_ppm,399.34680051729833
2019,SSP1-2.6,co2_ppm,401.1249053035049
2020,SSP1-2.6,co2_ppm,404.29465231441145
2021,SSP1-2.6,co2_ppm,407.75069192390055
2022,SSP1-2.6,co2_ppm,410.0808560816335
2023,SSP1-2.6,co2_ppm,412.1086617351603
2024,SSP1-2.6,co2_ppm,415.12020452933433
2025,SSP1-2.6,co2_ppm,417.9400792981036
2026,SSP1-2.6,co2_ppm,420.97914988024587
2027,SSP1-2.6,co2_ppm,422.74425684680915
2028,SSP1-2.6,co2_ppm,424.9451492250641
