y,x,t,y_image,x_image,retrieval_local_zenith_angle,quantitative_local_zenith_angle,retrieval_solar_zenith_angle,day_solar_zenith_angle,night_solar_zenith_angle,sst_c,time
0.13899198,-0.003471993,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,19.169868,2020-07-28T00:30:05.934142976
0.13899198,-0.0023519925,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,18.347849,2020-07-28T00:30:05.934142976
0.13899198,-0.0012319923,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,17.967121,2020-07-28T00:30:05.934142976
0.13899198,-0.00011199266,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,17.531528,2020-07-28T00:30:05.934142976
0.13899198,0.0021280074,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,16.514603,2020-07-28T00:30:05.934142976
0.13899198,0.0032480075,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,16.324142,2020-07-28T00:30:05.934142976
0.13899198,0.004368007,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,14.188943,2020-07-28T00:30:05.934142976
0.13899198,0.006608007,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,11.588608,2020-07-28T00:30:05.934142976
0.13899198,0.0077280076,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,11.405487,2020-07-28T00:30:05.934142976
0.13899198,0.008848007,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,10.355591,2020-07-28T00:30:05.934142976
0.13899198,0.011088007,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,6.518158,2020-07-28T00:30:05.934142976
0.13899198,0.0133280065,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,14.236557,2020-07-28T00:30:05.934142976
0.137872,-0.021391992,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,6.45874,2020-07-28T00:30:05.934142976
0.137872,-0.018031994,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,4.0358377,2020-07-28T00:30:05.934142976
0.137872,-0.016911993,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,5.0927234,2020-07-28T00:30:05.934142976
0.137872,-0.015791992,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,6.993989,2020-07-28T00:30:05.934142976
0.137872,-0.014671993,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,7.8686156,2020-07-28T00:30:05.934142976
0.137872,-0.013551992,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,6.8036795,2020-07-28T00:30:05.934142976
0.137872,-0.012431992,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,8.505827,2020-07-28T00:30:05.934142976
0.137872,-0.011311993,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,9.045851,2020-07-28T00:30:05.934142976
0.137872,-0.010191994,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,10.37961,2020-07-28T00:30:05.934142976
