year,mean_sst_c,scenario,model
2015,-246.925,ssp126,ACCESS-CM2
2016,-246.93954,ssp126,ACCESS-CM2
2017,-246.89824,ssp126,ACCESS-CM2
2018,-247.0937,ssp126,ACCESS-CM2
2019,-246.7081,ssp126,ACCESS-CM2
2020,-246.94159,ssp126,ACCESS-CM2
2021,-246.71689,ssp126,ACCESS-CM2
2022,-246.81914,ssp126,ACCESS-CM2
2023,-246.61234,ssp126,ACCESS-CM2
2024,-246.31783,ssp126,ACCESS-CM2
2025,-246.24841,ssp126,ACCESS-CM2
2026,-246.48975,ssp126,ACCESS-CM2
2027,-246.47838,ssp126,ACCESS-CM2
2028,-246.43031,ssp126,ACCESS-CM2
2029,-246.5119,ssp126,ACCESS-CM2
2030,-246.36868,ssp126,ACCESS-CM2
2031,-246.4407,ssp126,ACCESS-CM2
2032,-246.58469,ssp126,ACCESS-CM2
2033,-246.24507,ssp126,ACCESS-CM2
2034,-246.74426,ssp126,ACCESS-CM2
2035,-246.23582,ssp126,ACCESS-CM2
2036,-246.53847,ssp126,ACCESS-CM2
2037,-246.35141,ssp126,ACCESS-CM2
2038,-246.37984,ssp126,ACCESS-CM2
2039,-246.53099,ssp126,ACCESS-CM2
2040,-246.31383,ssp126,ACCESS-CM2
2041,-246.55582,ssp126,ACCESS-CM2
2042,-246.51065,ssp126,ACCESS-CM2
2043,-245.71971,ssp126,ACCESS-CM2
2044,-246.33102,ssp126,ACCESS-CM2
2045,-246.23738,ssp126,ACCESS-CM2
2046,-246.2117,ssp126,ACCESS-CM2
2047,-246.06462,ssp126,ACCESS-CM2
2048,-245.83746,ssp126,ACCESS-CM2
2049,-245.821,ssp126,ACCESS-CM2
2050,-246.25143,ssp126,ACCESS-CM2
2051,-245.82425,ssp126,ACCESS-CM2
2052,-245.69681,ssp126,ACCESS-CM2
2053,-245.87956,ssp126,ACCESS-CM2
2054,-245.60706,ssp126,ACCESS-CM2
2055,-246.01433,ssp126,ACCESS-CM2
2056,-245.74889,ssp126,ACCESS-CM2
2057,-246.03572,ssp126,ACCESS-CM2
2058,-245.72586,ssp126,ACCESS-CM2
2059,-246.1148,ssp126,ACCESS-CM2
2060,-245.96788,ssp126,ACCESS-CM2
2061,-245.91695,ssp126,ACCESS-CM2
2062,-246.00728,ssp126,ACCESS-CM2
2063,-245.84187,ssp126,ACCESS-CM2
2064,-245.8106,ssp126,ACCESS-CM2
2065,-246.07867,ssp126,ACCESS-CM2
2066,-246.08102,ssp126,ACCESS-CM2
2067,-245.7725,ssp126,ACCESS-CM2
2068,-246.00182,ssp126,ACCESS-CM2
2069,-246.1994,ssp126,ACCESS-CM2
2070,-246.04799,ssp126,ACCESS-CM2
2071,-245.77867,ssp126,ACCESS-CM2
2072,-246.19034,ssp126,ACCESS-CM2
2073,-245.99191,ssp126,ACCESS-CM2
2074,-245.66803,ssp126,ACCESS-CM2
2075,-246.03578,ssp126,ACCESS-CM2
2076,-245.98932,ssp126,ACCESS-CM2
2077,-245.97292,ssp126,ACCESS-CM2
2078,-245.94453,ssp126,ACCESS-CM2
2079,-245.75723,ssp126,ACCESS-CM2
2080,-245.85735,ssp126,ACCESS-CM2
2081,-245.79013,ssp126,ACCESS-CM2
2082,-245.72284,ssp126,ACCESS-CM2
2083,-245.94434,ssp126,ACCESS-CM2
2084,-245.86191,ssp126,ACCESS-CM2
2085,-246.13739,ssp126,ACCESS-CM2
2086,-245.87039,ssp126,ACCESS-CM2
2087,-245.66528,ssp126,ACCESS-CM2
2088,-245.8956,ssp126,ACCESS-CM2
2089,-245.99104,ssp126,ACCESS-CM2
2090,-245.63449,ssp126,ACCESS-CM2
2091,-245.99716,ssp126,ACCESS-CM2
2092,-245.67903,ssp126,ACCESS-CM2
2093,-245.79907,ssp126,ACCESS-CM2
2094,-245.68054,ssp126,ACCESS-CM2
2095,-245.90126,ssp126,ACCESS-CM2
2096,-245.71259,ssp126,ACCESS-CM2
