name,year,max_wind,min_pressure,avg_tropicalstorm_diameter,avg_hurricane_diameter,max_tropicalstorm_diameter,max_hurricane_diameter,start_time,end_time,observations,duration_days
                Ana,2009,35,1003.0,15.0,0.0,60.0,0.0,2009-08-10 06:00:00,2009-08-16 12:00:00,26,6.25
                Ana,2015,50,998.0,99.64285714285714,0.0,220.0,0.0,2015-05-06 06:00:00,2015-05-12 18:00:00,28,6.5
                Ana,2021,50,1004.0,131.1764705882353,0.0,330.0,0.0,2021-05-20 00:00:00,2021-05-24 00:00:00,17,4.0
                Don,2011,45,997.0,40.0,0.0,60.0,0.0,2011-07-27 06:00:00,2011-07-30 23:00:00,14,3.7083333333333335
                Don,2017,45,1005.0,28.571428571428573,0.0,50.0,0.0,2017-07-17 00:00:00,2017-07-18 12:00:00,7,1.5
                Don,2023,65,986.0,78.79310344827586,0.5172413793103449,180.0,15.0,2023-07-11 12:00:00,2023-07-25 18:00:00,58,14.25
                Eta,2020,130,922.0,124.65517241379311,7.155172413793103,250.0,50.0,2020-10-31 18:00:00,2020-11-15 20:00:00,58,15.083333333333334
                Fay,2008,60,986.0,81.73076923076923,0.0,230.0,0.0,2008-08-15 12:00:00,2008-08-28 06:00:00,52,12.75
                Fay,2014,70,983.0,210.71428571428572,4.285714285714286,300.0,20.0,2014-10-10 00:00:00,2014-10-15 09:00:00,14,5.375
                Fay,2020,50,998.0,36.666666666666664,0.0,190.0,0.0,2020-07-05 12:00:00,2020-07-11 18:00:00,27,6.25
                Ian,2016,55,984.0,212.85714285714286,0.0,260.0,0.0,2016-09-12 00:00:00,2016-09-17 00:00:00,21,5.0
                Ian,2022,140,937.0,199.25,32.0,540.0,85.0,2022-09-22 18:00:00,2022-10-01 06:00:00,40,8.5
                Ida,2009,90,975.0,111.45161290322581,8.387096774193548,250.0,45.0,2009-11-04 06:00:00,2009-11-13 18:00:00,31,9.5
                Ida,2015,45,1001.0,70.19607843137256,0.0,220.0,0.0,2015-09-15 12:00:00,2015-09-28 00:00:00,51,12.5
                Ida,2021,130,929.0,129.75,13.5,370.0,65.0,2021-08-26 12:00:00,2021-09-04 18:00:00,40,9.25
                Ike,2008,125,935.0,256.1290322580645,63.54838709677419,420.0,170.0,2008-09-01 06:00:00,2008-09-15 22:00:00,62,14.666666666666666
                Lee,2005,35,1006.0,4.615384615384615,0.0,60.0,0.0,2005-08-28 12:00:00,2005-09-03 18:00:00,26,6.25
                Lee,2011,50,986.0,202.5,0.0,355.0,0.0,2011-09-02 00:00:00,2011-09-07 18:00:00,22,5.75
                Lee,2017,100,962.0,60.63492063492063,12.698412698412698,220.0,55.0,2017-09-14 18:00:00,2017-09-30 06:00:00,63,15.5
                Lee,2023,145,926.0,314.90909090909093,76.9090909090909,600.0,220.0,2023-09-05 12:00:00,2023-09-18 18:00:00,55,13.25
                One,2009,30,1006.0,0.0,0.0,0.0,0.0,2009-05-26 18:00:00,2009-05-30 06:00:00,15,3.5
                Sam,2021,135,927.0,272.3728813559322,49.32203389830509,780.0,100.0,2021-09-22 18:00:00,2021-10-07 06:00:00,59,14.5
                Ten,2005,30,1008.0,0.0,0.0,0.0,0.0,2005-08-13 12:00:00,2005-08-18 12:00:00,21,5.0
                Ten,2007,30,1005.0,0.0,0.0,0.0,0.0,2007-09-21 12:00:00,2007-09-22 06:00:00,4,0.75
                Ten,2011,30,1006.0,0.0,0.0,0.0,0.0,2011-08-25 00:00:00,2011-08-27 00:00:00,9,2.0
                Ten,2020,30,1008.0,0.0,0.0,0.0,0.0,2020-07-29 18:00:00,2020-08-02 00:00:00,14,3.25
                Two,2010,30,1005.0,0.0,0.0,0.0,0.0,2010-07-07 06:00:00,2010-07-10 00:00:00,13,2.75
                Two,2014,30,1012.0,0.0,0.0,0.0,0.0,2014-07-19 12:00:00,2014-07-23 12:00:00,17,4.0
               Alex,2004,105,957.0,169.4,29.6,380.0,70.0,2004-07-31 18:00:00,2004-08-06 18:00:00,25,6.0
               Alex,2010,95,946.0,139.53125,13.125,310.0,65.0,2010-06-24 18:00:00,2010-07-02 00:00:00,32,7.25
               Alex,2016,75,978.0,457.85714285714283,15.714285714285714,660.0,300.0,2016-01-07 00:00:00,2016-01-17 00:00:00,42,10.0
               Alex,2022,60,984.0,183.52941176470588,0.0,270.0,0.0,2022-06-02 18:00:00,2022-06-06 18:00:00,17,4.0
               Beta,2005,100,962.0,69.44444444444444,10.0,110.0,30.0,2005-10-26 18:00:00,2005-10-31 00:00:00,18,4.25
               Beta,2020,55,993.0,87.94117647058823,0.0,210.0,0.0,2020-09-17 06:00:00,2020-09-25 06:00:00,34,8.0
               Bill,2009,115,943.0,332.39130434782606,56.52173913043478,465.0,135.0,2009-08-15 06:00:00,2009-08-26 00:00:00,46,10.75
               Bill,2015,50,997.0,40.0,0.0,160.0,0.0,2015-06-16 00:00:00,2015-06-21 00:00:00,22,5.0
