,name,wind,pressure,tropicalstorm_force_diameter,hurricane_force_diameter,start_time,end_time,duration_days
0,                Amy,46.45161290322581,995.1290322580645,-1998.0,-1998.0,1975-06-27 00:00:00,1975-07-06 12:00:00,9
1,                Ana,34.20634920634921,1005.6243386243386,-1218.8042328042327,-1247.4285714285713,1979-06-19 12:00:00,2021-05-25 12:00:00,15316
2,                Bob,37.57142857142857,1001.9142857142857,-1998.0,-1998.0,1979-07-09 12:00:00,1991-08-30 12:00:00,4435
3,                Don,37.848101265822784,1004.7721518987341,67.46835443037975,0.379746835443038,2011-07-27 12:00:00,2023-07-27 12:00:00,4383
4,                Eta,54.827586206896555,989.448275862069,124.65517241379311,7.155172413793103,2020-10-31 18:00:00,2020-11-15 20:00:00,15
5,                Fay,35.604838709677416,1001.9435483870968,-433.4516129032258,-499.01612903225805,2002-09-05 18:00:00,2020-07-13 12:00:00,6520
6,                Ian,61.39344262295082,986.0,203.9344262295082,20.983606557377048,2016-09-12 00:00:00,2022-10-03 12:00:00,2212
7,                Ida,44.09836065573771,996.827868852459,100.20491803278688,6.557377049180328,2009-11-04 12:00:00,2021-09-06 12:00:00,4324
8,                Ike,80.0,965.1935483870968,256.1290322580645,63.54838709677419,2008-09-01 12:00:00,2008-09-17 12:00:00,16
9,                Lee,54.51807228915663,988.0843373493976,154.90963855421685,30.301204819277107,2005-08-28 12:00:00,2023-09-20 12:00:00,6597
10,                One,26.333333333333332,1007.5333333333333,0.0,0.0,2009-05-26 18:00:00,2009-06-01 12:00:00,5
11,                Sam,93.22033898305085,960.4915254237288,272.3728813559322,49.32203389830509,2021-09-22 18:00:00,2021-10-09 12:00:00,16
12,                Ten,26.875,1008.8541666666666,0.0,0.0,2005-08-13 12:00:00,2020-08-03 12:00:00,5469
13,                Two,25.666666666666668,1009.8666666666667,0.0,0.0,2010-07-07 12:00:00,2014-07-25 12:00:00,1479
14,               Alex,50.63380281690141,991.0422535211268,-147.16901408450704,-353.01408450704224,1998-07-27 12:00:00,2022-06-08 12:00:00,8717
15,               Anna,31.756756756756758,-510.7027027027027,-1998.0,-1998.0,1976-07-28 18:00:00,1976-08-08 12:00:00,10
